	en	fr	es	el
twittersna_hashtag_graph_tip	This graphs shows you the hashtags (and their numbers) retrieved with their co-occurrences between them. Thicker edges show more co-occurences between the hashtags. You can see the corresponding posts by clicking on a node. If you want to see the intersection of two nodes, click on the bigger node then type the second hashtag in the search box.	Ce graphique vous montre les hashtags (et leur nombre) récupérés avec leurs cooccurrences entre eux. Plus un arc est épais, plus il montre de co-occurrences entre les hashtags. Vous pouvez voir les posts correspondants en cliquant sur un nœud. Si vous voulez voir l'intersection de deux nœuds, cliquez sur le plus gros nœud puis écrivez le deuxième hashtag dans la boîte de recherche.	Este gráfico muestra los hashtags (y sus números) recuperados con sus co-ocurrencias entre ellos. Los enlaces más gruesos muestran más co-ocurrencias entre los hashtags. Puedes ver los posts correspondientes clicqueando en un nodo. Si quiere ver la intersección de dos nodos, haga clic en el nodo más grande y luego escriba el segundo hashtag en el cuadro de búsqueda.	Σε αυτά τα γραφήματα εμφανίζονται τα hashtag (και οι αριθμοί τους) που ανακτήθηκαν με τις συν-εμφανίσεις τους μεταξύ τους. Τα παχύτερα άκρα δείχνουν περισσότερες συν-εμφανίσεις μεταξύ των hashtags. Μπορείτε να δείτε τα αντίστοιχα posts κάνοντας κλικ σε έναν κόμβο. Εάν θέλετε να δείτε τη διασταύρωση δύο κόμβων, κάντε κλικ στον μεγαλύτερο κόμβο και, στη συνέχεια, πληκτρολογήστε το δεύτερο hashtag στο πλαίσιο αναζήτησης.
twittersna_wordcloud_tip	This word cloud shows you the top words used in the post collection of your query (without the query words). You can click on each word to see the corresponding posts.	Ce nuage mot vous montre les top mots utilisés dans la collection après de votre requête (sans les mots de la requête). Vous pouvez cliquer sur chaque mot pour voir les messages correspondants.	Esta palabra nube muestra las palabras más utilizados en la recogida posterior de la consulta (sin las palabras de consulta). Puede hacer clic en cada palabra para ver los mensajes correspondientes.	Αυτή η λέξη σύννεφο που δείχνει τις λέξεις κορυφή χρησιμοποιηθεί στη θέση συλλογής του ερωτήματός σας (χωρίς τις λέξεις ερωτήματος). Μπορείτε να κάνετε κλικ σε κάθε λέξη για να δείτε τις αντίστοιχες θέσεις.
twittersna_urls_tip	Sorted list of most shared urls in the collection of posts. You can relaunch a Facebook CSV query by submitting a new CSV file.	liste triée des urls plus partagés dans la collection de postes. Vous pouvez relancer une requête CSV Facebook en soumettant un nouveau fichier CSV.	lista ordenada de URL más comunes en la colección de mensajes. Puede relanzar una consulta Facebook CSV mediante la presentación de un nuevo archivo CSV.	Ταξινομημένη λίστα των πιο κοινόχρηστο urls στη συλλογή των θέσεων. Μπορείτε να ξαναρχίσει ένα ερώτημα Facebook CSV υποβάλλοντας ένα νέο αρχείο CSV.
twittersna_user_graph_tip	User accounts graph	Graphe de comptes utilisateurs	Grafo de cuentas de usuarios	Γράφημα λογαριασμών χρηστών
twittersna_export_graph_tip	Export and view graph in gexf	Exporter et visualiser le graphe en format gexf	Exportar y visualizar el grafo en formato gexf	Εξαγωγή και προβολή γραφήματος στο gexf
metadata_tip	Most social networks platforms are getting rid of metadata in pictures and videos. If, as a journalist or fact-checker, you want to ensure the picture or video is an original UGC production, ask for the original file and you can check it here as a local file to see its metadata.	La plupart des plateformes de réseaux sociaux se débarrassent des métadonnées des photos et des vidéos. Si, en tant que journaliste ou fact-checker, vous voulez vous assurer que la photo ou la vidéo est une production UGC originale, demandez le fichier original et vous pourrez le vérifier ici en tant que fichier local pour voir ses métadonnées.	La mayoría de las plataformas de redes sociales se están deshaciendo de los metadatos de las fotos y los videos. Si, como periodista o fact-checker, quiere asegurarse de que la foto o el vídeo es una producción original de UGC, pida el archivo original y puede comprobarlo aquí como un archivo local para ver sus metadatos.	Οι περισσότερες πλατφόρμες κοινωνικών δικτύων αφαιρούν τα μεταδεδομένα σε εικόνες και βίντεο. Εάν, ως δημοσιογράφος ή ελεγκτής γεγονότων, θέλετε να βεβαιωθείτε ότι η εικόνα ή το βίντεο είναι μια πρωτότυπη παραγωγή περιεχόμενου που δημιουργήθηκε από τον χρήστη, ζητήστε το αρχικό αρχείο και μπορείτε να το ελέγξετε εδώ ως τοπικό αρχείο για να δείτε τα μεταδεδομένα του.
twittersna_sosem_graph_tip	This socio-semantic graph measures interactions between hashtags and actors as nodes. Thickness of edges reflects the intensity of interactions. Clicking on nodes will display below the graph the corresponding posts.	Ce graphe socio-sémantique mesure les interactions entre les hashtags et les acteurs (nœuds du graphe). L'épaisseur des arrêtes reflète l'intensité des interactions. En cliquant sur les nœuds, les posts correspondants s'affichent sous le graphe.	Este grafo socio-semántico mide las interacciones entre los hashtags y los actores como nodos. El grosor de los enlaces refleja la intensidad de las interacciones. Al cliquear en los nodos se muestran debajo del grafo los posts correspondientes.	Αυτό το κοινωνικο-σημασιολογικό γράφημα μετρά τις αλληλεπιδράσεις μεταξύ hashtags και actors ως κόμβους. Το πάχος των ακμών αντικατοπτρίζει την ένταση των αλληλεπιδράσεων. Κάνοντας κλικ σε κόμβους θα εμφανιστούν κάτω από το γράφημα τα αντίστοιχα posts.
twittersna_sosem_4mode_graph_tip	This socio-semantic graph measures interactions between hashtags, URLs, mentions, RTs with comment and replies as nodes. Thickness of edges reflects the intensity of interactions. Click on any node to get the corresponding posts.	Ce graphe socio-sémantique mesure les interactions entre les hashtags, URLs, les mentions, les RTs avec commentaire et les réponses. L'épaisseur des arrêtes reflète l'intensité des interactions. En cliquant sur les nœuds, les posts correspondants s'affichent sous le graphe.	Este grafo socio-semántico mide las interacciones entre los hashtags, URLs, las menciones, los RTs con comentario y las respuestas. El grosor de los enlaces refleja la intensidad de las interacciones. Al cliquear en cualquier nodo se muestra debajo del grafo los posts correspondientes.	Αυτό το κοινωνικο-σημασιολογικό γράφημα μετρά τις αλληλεπιδράσεις μεταξύ hashtag, URLs, αναφορών, RT με σχόλια και απαντήσεις ως κόμβους. Το πάχος των ακμών αντικατοπτρίζει την ένταση των αλληλεπιδράσεων. Κάντε κλικ σε οποιονδήποτε κόμβο για να λάβετε τα αντίστοιχα posts.
twittersna_acd_ts_tip	Stacked histogram of creation date of the accounts retrieved from your query	Histogramme empilé des dates de création des comptes récupérés dans votre requête	Histograma apilado de las fechas de creación de las cuentas recuperadas con su búsqueda	Ιστογράμματος σε μορφή στοίβας των ημερομηνιών δημιουργίας των λογαριασμών που ανακτήθηκαν από το ερώτημά σας
twittersna_bubble_chart_tip	This graphic displays the most active accounts with their creation date (x axis) and their number of followers (y axis). The size of the nodes reflects their level of activity on your query. Colors show account activity on your query (Blue: less than 5 posts per day; Orange: between 5 and 14 posts per day; Red: beyond 15 posts per day).	Ce graphique affiche les comptes les plus actifs avec leur date de création (axe x) et leur nombre de followers (axe y). La taille des nœuds reflète leur niveau d'activité sur votre requête. Les couleurs montrent l'activité des comptes (Bleu: moins de 5 posts par jour; Orange: entre 5 et 14 posts par jour; Rouge: 15 ou plus posts par jour).	Este gráfico muestra las cuentas más activas con su fecha de creación (eje x) y su número de seguidores (eje y). El tamaño de los nodos refleja su nivel de actividad en su consulta. Los colores muestran la actividad de las cuentas (Azul: menos de 5 posts por dia; Naranja: entre 5 y 14 posts por dia; Rojo: 15 o más posts por dia).	Αυτό το γραφικό εμφανίζει τους πιο ενεργούς λογαριασμούς με την ημερομηνία δημιουργίας τους (άξονας x) και τον αριθμό των ακολούθων τους (άξονας y). Το μέγεθος των κόμβων αντικατοπτρίζει το επίπεδο δραστηριότητάς τους στο ερώτημά σας. Τα χρώματα δείχνουν τη δραστηριότητα του λογαριασμού στο ερώτημά σας (Μπλε: λιγότερα από 5 posts την ημέρα; Πορτοκαλί: μεταξύ 5 και 14 posts την ημέρα; Κόκκινο: πέρα από 15 posts την ημέρα).
covid19_tip	This a customised search engine using Google CSE to query several sources of information in one go about the Covid-19 sanitary crisis. It was developed during the #EUvsVirus hackathon in April 2020	Ce moteur de recherche sur la crise sanitaire du Covid-19 est basé sur Google CSE. Il permet d'interroger de multiples sources en une requête. Cette fonctionnalité a été développé pendant le hackathon EUvsVirus de la Commission Européenne en avril 2020.	Este motor de busqueda se basa en Google CSE para interogar multiples fuentes de informacion sobre la crisis sanitaria del Covid-19. Fue desarrollado durante el hackathon EUvsVirus organizado por la Comision Europea en abril 2020.	Πρόκειται για μια προσαρμοσμένη μηχανή αναζήτησης που χρησιμοποιεί το Google CSE για να ρωτήσει πολλές πηγές πληροφοριών συγχρόνως για την κρίση του Covid-19. Αναπτύχθηκε κατά τη διάρκεια του hackathon #EUvsVirus τον Απρίλιο του 2020
xnetwork_tip	This customised search engine uses Google CSE to perform cross-network searches on keywords. It may help to evaluate the virality of a disinformation campaign accross several platforms indexed by Google.	Ce moteur de recherche personnalisé utilise Google CSE pour interroger plusieurs plateformes à la fois. Il peut permettre d'évaluer la viralité d'une campagne de désinformation à travers plusieurs réseaux sociaux indexés par Google.	Este motor de busqueda usa Google CSE para interogar varias plataformas a la vez. Puede ayudar a evaluar la viralidad de una campana de desinformacion a traves de varias redes sociales.	Αυτή η προσαρμοσμένη μηχανή αναζήτησης χρησιμοποιεί το Google CSE για την πραγματοποίηση αναζητήσεων μεταξύ δικτύων με λέξεις-κλειδιά. Μπορεί να σας βοηθήσει να αξιολογήσετε τη βιωσιμότητα μιας καμπάνιας παραπληροφόρησης σε διάφορες πλατφόρμες που ευρετηριάζονται από την Google.
twittersna_explication	This feature is reserved for journalists, fact-checkers and researchers. We provide below an example with Donald Trump's posts on "fake news".	Cette fonctionnalité est réservée aux journalistes, fact-checkers et chercheurs. Vous trouverez ci-dessous un exemple avec les posts de Donald Trump sur les "fake news".	Esta herramienta esta reservada para periodistas, fact-checkers y investigadores. Encontraran debajo un ejemplo con los twits de Donald Trump sobre "fake news".	Αυτή η δυνατότητα προορίζεται για δημοσιογράφους, ελεγκτές γεγονότων και ερευνητές. Παρακάτω δίνουμε ένα παράδειγμα με τα posts του Donald Trump σχετικά με τα «ψεύτικα νέα».
